1  0
2  76.5625
3  153.125
4  229.687
5  306.25
6  382.812
7  459.375
8  535.937
9  612.5
10  689.062
11  765.625
12  842.187
13  918.75
14  995.312
15  1071.87
16  1148.44
17  1225
18  1301.56
19  1378.12
20  1454.69
21  1531.25
22  1607.81
23  1684.37
24  1760.94
25  1837.5
26  1914.06
27  1990.62
28  2067.19
29  2143.75
30  2220.31
31  2296.87
32  2373.44
33  2450
34  2526.56
35  2603.12
36  2679.69
37  2756.25
38  2832.81
39  2909.37
40  2985.94
41  3062.5
42  3139.06
43  3215.62
44  3292.19
45  3368.75
46  3445.31
47  3521.87
48  3598.44
49  3675
50  3751.56
